NodeID NodeType IfIndex Up Delay Bw DnodeID
0 1 1 1 2000 100000000000 12
0 1 2 1 2000 100000000000 13
0 1 4 1 2000 100000000000 5
0 1 3 1 2000 100000000000 4
1 1 2 1 2000 100000000000 15
1 1 1 1 2000 100000000000 14
1 1 4 1 2000 100000000000 5
1 1 3 1 2000 100000000000 4
2 1 2 1 2000 100000000000 17
2 1 1 1 2000 100000000000 16
2 1 4 1 2000 100000000000 7
2 1 3 1 2000 100000000000 6
3 1 1 1 2000 100000000000 18
3 1 2 1 2000 100000000000 19
3 1 4 1 2000 100000000000 7
3 1 3 1 2000 100000000000 6
4 1 4 1 2000 100000000000 9
4 1 3 1 2000 100000000000 8
4 1 2 1 2000 100000000000 1
4 1 1 1 2000 100000000000 0
5 1 4 1 2000 100000000000 11
5 1 3 1 2000 100000000000 10
5 1 2 1 2000 100000000000 1
5 1 1 1 2000 100000000000 0
6 1 4 1 2000 100000000000 9
6 1 3 1 2000 100000000000 8
6 1 2 1 2000 100000000000 3
6 1 1 1 2000 100000000000 2
7 1 4 1 2000 100000000000 11
7 1 3 1 2000 100000000000 10
7 1 2 1 2000 100000000000 3
7 1 1 1 2000 100000000000 2
8 1 4 1 2000 100000000000 34
8 1 3 1 2000 100000000000 32
8 1 2 1 2000 100000000000 6
8 1 1 1 2000 100000000000 4
9 1 4 1 2000 100000000000 34
9 1 3 1 2000 100000000000 32
9 1 2 1 2000 100000000000 6
9 1 1 1 2000 100000000000 4
10 1 4 1 2000 100000000000 35
10 1 3 1 2000 100000000000 33
10 1 2 1 2000 100000000000 7
10 1 1 1 2000 100000000000 5
11 1 4 1 2000 100000000000 35
11 1 3 1 2000 100000000000 33
11 1 2 1 2000 100000000000 7
11 1 1 1 2000 100000000000 5
12 0 1 1 2000 100000000000 0
13 0 1 1 2000 100000000000 0
14 0 1 1 2000 100000000000 1
15 0 1 1 2000 100000000000 1
16 0 1 1 2000 100000000000 2
17 0 1 1 2000 100000000000 2
18 0 1 1 2000 100000000000 3
19 0 1 1 2000 100000000000 3
20 0 1 1 2000 100000000000 28
21 0 1 1 2000 100000000000 28
22 0 1 1 2000 100000000000 29
23 0 1 1 2000 100000000000 29
24 0 1 1 2000 100000000000 30
25 0 1 1 2000 100000000000 30
26 0 1 1 2000 100000000000 31
27 0 1 1 2000 100000000000 31
28 1 1 1 2000 100000000000 20
28 1 2 1 2000 100000000000 21
28 1 4 1 2000 100000000000 33
28 1 3 1 2000 100000000000 32
29 1 1 1 2000 100000000000 22
29 1 2 1 2000 100000000000 23
29 1 4 1 2000 100000000000 33
29 1 3 1 2000 100000000000 32
30 1 1 1 2000 100000000000 24
30 1 2 1 2000 100000000000 25
30 1 4 1 2000 100000000000 35
30 1 3 1 2000 100000000000 34
31 1 1 1 2000 100000000000 26
31 1 2 1 2000 100000000000 27
31 1 4 1 2000 100000000000 35
31 1 3 1 2000 100000000000 34
32 1 2 1 2000 100000000000 29
32 1 1 1 2000 100000000000 28
32 1 4 1 2000 100000000000 9
32 1 3 1 2000 100000000000 8
33 1 2 1 2000 100000000000 29
33 1 1 1 2000 100000000000 28
33 1 4 1 2000 100000000000 11
33 1 3 1 2000 100000000000 10
34 1 2 1 2000 100000000000 31
34 1 1 1 2000 100000000000 30
34 1 4 1 2000 100000000000 9
34 1 3 1 2000 100000000000 8
35 1 2 1 2000 100000000000 31
35 1 1 1 2000 100000000000 30
35 1 4 1 2000 100000000000 11
35 1 3 1 2000 100000000000 10
